"","Ftgt","Btgt","minB","meanB","meanF","pGreen","pRed","pBlim","pBmsy","Csht","Cmed","Clon","Cc","Csd","pShw","pTX","maxTc"
"1","0.8","0.8",1.45,1.6,0.74,1,0,1,0,50000,43507,38233,-0.01,4960,0,0.29,0.17
"2","0.8","0.9",1.45,1.6,0.74,1,0,1,0,50000,43507,38233,-0.01,4960,0,0.29,0.17
"3","0.8","1",1.26,1.54,0.74,1,0,1,0,50000,43130,37299,-0.01,6227,0,0.43,0.2
"4","0.8","1.1",1.45,1.61,0.73,1,0,1,0,50000,43507,38110,-0.01,5258,0,0.43,0.2
"5","0.8","1.2",1.46,1.62,0.71,1,0,1,0,50000,43421,37467,-0.01,5871,0,0.43,0.2
"6","0.9","0.8",1.32,1.5,0.81,1,0,1,0,50000,47159,38861,-0.01,5492,0,0.29,0.18
"7","0.9","0.9",1.32,1.51,0.8,1,0,1,0,50000,47159,38819,-0.01,5492,0,0.29,0.19
"8","0.9","1",1.32,1.51,0.78,1,0,1,0,50000,47159,38472,-0.01,5821,0,0.43,0.2
"9","0.9","1.1",1.32,1.52,0.77,1,0,1,0,50000,47116,37683,-0.01,6517,0,0.43,0.2
"10","0.9","1.2",1.35,1.55,0.75,1,0,1,0,50000,46894,37120,-0.01,6925,0,0.57,0.23
"11","1","0.8",1.22,1.43,0.86,0.88,0,1,0,50000,49090,39787,-0.01,5397,0,0.29,0.19
"12","1","0.9",1.22,1.44,0.85,0.88,0,1,0,50000,49090,39559,-0.01,5672,0,0.29,0.2
"13","1","1",1.05,1.37,0.85,0.67,0,1,0,50000,48887,35793,-0.01,8922,0,0.57,0.2
"14","1","1.1",1.25,1.47,0.81,0.88,0,1,0,50000,48915,37113,-0.01,7127,0,0.43,0.21
"15","1","1.2",1.28,1.51,0.78,0.96,0,1,0,50000,48333,37054,-0.01,7255,0,0.57,0.24
"16","1.1","0.8",1.13,1.38,0.92,0.67,0,1,0,50000,50000,40855,-0.01,5170,0,0.29,0.2
"17","1.1","0.9",1.14,1.4,0.9,0.67,0,1,0,50000,50000,39902,-0.01,5896,0,0.29,0.2
"18","1.1","1",1.15,1.41,0.87,0.75,0,1,0,50000,50000,38527,-0.01,6795,0,0.43,0.2
"19","1.1","1.1",1.19,1.44,0.83,0.81,0,1,0,50000,49939,37055,-0.01,7122,0,0.43,0.2
"20","1.1","1.2",1.25,1.47,0.81,0.88,0,1,0,50000,48959,37122,-0.01,7248,0,0.43,0.22
"21","1.2","0.8",1.06,1.34,0.96,0.54,0,1,0,50000,50000,42213,-0.01,4820,0,0.29,0.2
"22","1.2","0.9",1.07,1.36,0.92,0.58,0,1,0,50000,50000,41046,-0.01,6003,0,0.29,0.2
"23","1.2","1",0.9,1.26,0.95,0.46,0.12,1,0.17,50000,50000,34513,-0.02,9962,0,0.57,0.2
"24","1.2","1.1",1.15,1.42,0.86,0.75,0,1,0,50000,50000,38069,-0.01,6938,0,0.43,0.2
"25","1.2","1.2",1.21,1.45,0.82,0.83,0,1,0,50000,49665,37086,-0.01,7234,0,0.43,0.21
