"iter","mod_type","M","sigmaR"
277,"BaseCase",0.195183073451512,0.397158409809244
235,"BaseCase",0.355699924124932,0.262267326247462
70,"BaseCase",0.516428040266075,0.328361071146935
16,"BaseCase",0.356764780150903,0.215114473231587
338,"BaseCase",0.360316706711499,0.398283941327596
97,"BaseCase",0.268085360991021,0.556748566171648
232,"CPUE",0.151997711639073,0.243654261506869
315,"CPUE",0.357413585571179,0.354444328444721
171,"CPUE",0.526174444732274,0.487092949055846
271,"CPUE",0.341356854015447,0.182386557787462
69,"CPUE",0.371034240351257,0.406734392345779
242,"CPUE",0.434455756901097,0.631073460362652
205,"Size",0.195463041458942,0.32267565362391
386,"Size",0.355930457434093,0.274058615212126
70,"Size",0.516428040266075,0.328361071146935
16,"Size",0.356764780150903,0.215114473231587
25,"Size",0.404627453848419,0.400395022146251
97,"Size",0.268085360991021,0.556748566171648
246,"Age",0.215988123975446,0.354789499935604
379,"Age",0.348198411115003,0.412649543658891
303,"Age",0.501936291808139,0.470745785881432
26,"Age",0.355958730753912,0.20386348897231
132,"Age",0.317599596989304,0.426477054173877
242,"Age",0.434455756901097,0.631073460362652
